practice,Year ,GrainC1    ,LeafC1     ,StemC1     ,RootC1     ,GrainC2    ,LeafC2     ,StemC2     ,RootC2     ,GrainC3    ,LeafC3     ,StemC3     ,RootC3     ,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC 0-10cm ,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2   ,Leach_C    ,Runoff_C   ,CH4        ,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3  ,Runoff_SON ,Leach_DON  ,N2O_flux   ,NO_flux    ,N2_flux    ,NH3_flux   ,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub,dSOC_kgCO2e,CH4_kgCO2e,N2O_kgCO2e,GWP
regen,3,87.93,83.9,331.58,167.81,113.13,4525.08,4525.08,2149.41,38.85,23.74,23.74,21.59,0.0307,0.0194,0.0189,0.0189,0.0189,32946.77,20845.39,20321.72,20324.85,30491.47,119781.95,124930.2,5148.26,4371.77,2182.64,1050,259.22,2716.16,0,0,-0.61,11259.06,8.79,11402.18,8.35,142.67,0,0,105,29.97,62.87,91.03,0.01,0,0,10.2,0.03,0.06,4.27,6.23,760.05,1674.33,5.32,26513.42,0,900,38408.34,72.42,28.02,2,1,0.56,0.43,0,0,0,951.73,332.86,16113.22,-18894.1142,-22.7164,4247.571429,-14669.25917
regen,4,87.92,83.9,331.56,167.79,112.7,4508,4508,2141.3,34.1,20.84,20.84,18.94,0.0361,0.0196,0.0189,0.0189,0.0189,38780.17,21025.43,20297.34,20301.25,30457.19,124930.21,130861.38,5931.16,5914.43,2174.61,1200,290.55,3649.06,0,0,-0.42,11402.18,8.35,11582.27,7.39,179.13,0,0,120,30.18,62.32,90.89,0.01,0,0,14.2,0.04,0.08,4.49,5.31,759.94,1672.14,5.17,26516.54,0,900,38408.34,72.42,28.02,2,1,0.56,0.43,0,0,0,1278.29,411.59,19580.08,-21767.3572,-15.6408,5913.285714,-15869.71229
regen,5,87.91,83.88,331.51,167.77,112.59,4503.77,4503.77,2139.29,0,0,0,0,0.0417,0.0198,0.0189,0.0189,0.0189,44711.13,21203.46,20273.18,20277.59,30422.71,130861.41,136888.08,6026.67,6962.65,2155.87,1350,316.16,4758.82,0,0,-0.44,11582.27,7.39,11788.27,6.58,205.19,0,0,135,30.04,61.76,91.34,0.01,0,0,17.25,0.05,0.11,5.04,4.52,759.84,574.23,5.65,27621.8,0,900,38408.34,72.42,28.02,2,1,0.55,0.45,0,0,0,1602.75,476.22,21916.41,-22117.8789,-16.3856,7183.392857,-14950.87164
regen,6,88.04,84,331.98,168.01,112.43,4497.35,4497.35,2136.24,0,0,0,0,0.0471,0.0199,0.0189,0.0189,0.0189,50508.5,21381.22,20249.25,20254.37,30388.87,136888.08,142782.2,5894.13,7678.88,2154.63,1500,337.42,5777.59,0,0,-0.45,11788.27,6.58,12013.59,5.94,224.68,0,0,150,30.27,61.2,92.15,0.01,0,0,20.25,0.06,0.13,5.53,3.9,759.73,1699.52,5.17,26481.11,0,900,38408.34,72.42,28.02,2,1,0.55,0.45,0,0,0,1925.32,529.54,23526.11,-21631.4571,-16.758,8432.678571,-13215.53653
regen,7,87.98,83.95,331.78,167.9,112.83,4513.25,4513.25,2143.79,0,0,0,0,0.0521,0.0201,0.0188,0.0188,0.0189,55945.25,21559.91,20225.53,20231.37,30355.33,142782.2,148317.39,5535.19,8176.69,2163.76,1500,355.28,6661.32,0.01,0,-0.46,12013.59,5.94,12248.03,5.11,233.6,0,0,150,30.58,61.44,92.46,0.01,0,0,21.31,0.06,0.16,5.15,3.11,759.63,1699.73,5.17,26480.83,0,900,38408.34,72.42,28.02,2,1,0.55,0.46,0,0,0,2245.03,573.22,24672.76,-20314.1473,-17.1304,8874.092857,-11457.18484
regen,8,87.88,83.86,331.4,167.71,113.15,4526.1,4526.1,2149.9,0,0,0,0,0.0568,0.0203,0.0188,0.0188,0.0188,60996.01,21739.55,20202.05,20208.61,30322.14,148317.38,153468.36,5150.98,8532.51,2171.14,1500,369.98,7423.5,0.01,0,-0.47,12248.03,5.11,12488.28,4.58,239.72,0,0,150,30.84,61.68,92.61,0.01,0,0,22.6,0.06,0.19,4.74,2.61,759.52,1698.96,5.17,26481.41,0,900,38408.34,72.42,28.02,2,1,0.54,0.47,0,0,0,2561.4,608.91,25492.38,-18904.0966,-17.5028,9411.285714,-9510.313686
regen,9,87.82,83.79,331.15,167.59,112.32,4492.93,4492.93,2134.14,0,0,0,0,0.0612,0.0204,0.0188,0.0188,0.0188,65651.2,21917.32,20178.75,20186.01,30289.14,153468.36,158222.42,4754.06,8780.53,2156.33,1500,382.05,8065.71,0.01,0,-0.48,12488.28,4.58,12731.76,4.43,243.33,0,0,150,30.84,61.1,92.4,0.01,0,0,23.38,0.06,0.22,4.53,2.44,759.42,1695.89,5.17,26484.29,0,900,38408.34,72.42,28.02,2,1,0.53,0.48,0,0,0,2874.27,638.04,25999.92,-17447.4002,-17.8752,9736.1,-7729.1754
regen,10,88.19,84.16,332.58,168.31,112.86,4514.49,4514.49,2144.38,28.96,17.7,17.7,16.09,0.0652,0.0206,0.0188,0.0188,0.0188,69989.59,22097.36,20155.51,20163.48,30256.21,158222.39,162662.17,4439.78,8955.5,2183.53,1500,393.2,8593.26,0.01,0,-0.49,12731.76,4.43,12977.79,4.38,245.97,0,0,150,31.48,61.34,93.3,0.01,0,0,24.17,0.06,0.25,4.43,2.39,759.32,1677.29,5.17,26511.28,0,900,38408.34,72.42,28.02,2,1,0.53,0.49,0,0,0,3185.04,662.47,26444.78,-16293.9926,-18.2476,10065.07857,-6247.161629
regen,11,88.03,84,331.97,168,113.37,4534.84,4534.84,2154.05,32.49,19.85,19.85,18.05,0.069,0.0208,0.0188,0.0188,0.0188,74050.71,22278.36,20132.38,20141.03,30223.4,162662.17,166825.89,4163.72,9100.08,2195.86,1500,402.28,9035.38,0.01,0,-0.5,12977.79,4.38,13225.54,4.38,247.75,0,0,150,31.76,61.57,94.2,0.01,0,0,24.97,0.07,0.27,4.38,2.39,759.22,1680.87,5.16,26507.55,0,900,38408.34,72.42,28.02,2,1,0.51,0.48,0,0,0,3491.38,682.15,26797.58,-15280.8524,-18.62,10398.22143,-4901.250971
regen,12,87.97,83.94,331.73,167.88,112.55,4501.9,4501.9,2138.4,36.35,22.21,22.21,20.19,0.0725,0.0209,0.0187,0.0187,0.0188,77841.56,22457.49,20109.26,20118.56,30190.63,166825.89,170717.5,3891.61,9207.73,2182.83,1500,409.44,9409.3,0.01,0,-0.51,13225.54,4.38,13474.14,4.43,248.65,0,0,150,31.77,60.98,94.4,0.01,0,0,25.43,0.07,0.31,4.35,2.42,759.12,1680.07,5.16,26508.2,0,900,38408.34,72.42,28.02,2,1,0.5,0.5,0,0,0,3793.41,698.08,26988.59,-14282.2087,-18.9924,10589.77857,-3711.422529
